plz,AGS
48624,05554052
44649,05916000
42281,05124000
44629,05916000
33178,05774012
32602,05758036
33165,05774028
33442,05754020
33330,05754008
59174,05978020
51597,05374028
58638,05962024
59199,05978008
33428,05754016
48361,05570012
59348,05558024
48366,05566036
48485,05566060
58454,05954036
45279,05113000
45886,05513000
42853,05120000
42283,05124000
53604,05382008
48308,05558044
44135,05913000
32339,05770008
33609,05711000
32278,05758020
32425,05770024
48165,05515000
59427,05978036
58802,05962008
52068,05334002
52080,05334002
47807,05114000
47798,05114000
40667,05162022
41460,05162024
53902,05366004
46354,05554060
40217,05111000
40212,05111000
50935,05315000
53359,05382048
46240,05512000
45964,05562014
51381,05316000
33129,05774020
32609,05770016
32839,05762032
33039,05762028
52222,05334032
53909,05366044
53945,05366008
47229,05112000
41469,05162024
46537,05170008
41540,05162004
40880,05158028
46149,05119000
40789,05158026
50937,05315000
50997,05315000
40724,05158016
50668,05315000
45141,05113000
45327,05113000
58513,05962032
58708,05962040
48351,05570024
57462,05966024
59510,05974024
57290,05970036
57250,05970032
48341,05566004
33397,05754032
45277,05113000
53127,05314000
45770,05562024
45888,05513000
53757,05382056
45659,05562032
44795,05911000
48163,05515000
44309,05913000
59387,05558004
59067,05915000
52159,05334024
41179,05116000
41069,05116000
41747,05166032
47661,05154020
50181,05362004
46487,05170048
52391,05358060
50170,05362032
41569,05162028
48691,05554068
47053,05112000
50859,05315000
50858,05315000
40595,05111000
46284,05562012
50969,05315000
50674,05315000
42699,05122000
53343,05382072
51688,05374052
53809,05382052
58089,05914000
53842,05382068
42117,05124000
42369,05124000
45657,05562032
45739,05562028
42289,05124000
44787,05911000
44623,05916000
58089,05914000
32105,05766008
57339,05970012
33449,05754024
32351,05770044
57076,05970040
33647,05711000
33739,05711000
34414,05762036
34434,05762012
47574,05154016
52499,05334008
47669,05154060
41747,05166032
53925,05366024
47179,05112000
41470,05162024
53881,05366016
47166,05112000
40547,05111000
40237,05111000
40593,05111000
53332,05382012
45356,05113000
51379,05316000
42799,05378016
45130,05113000
45128,05113000
51069,05315000
59609,05974004
59555,05974028
57072,05970040
58762,05962004
59425,05978036
48167,05515000
48324,05570040
59075,05915000
44866,05911000
51429,05378004
44625,05916000
44789,05911000
44579,05562004
48356,05566064
44137,05913000
59590,05974020
33659,05711000
33602,05711000
33604,05711000
33607,05711000
32107,05766008
32689,05766036
32676,05766052
48346,05570032
59581,05974044
52074,05334002
52511,05370012
47647,05154028
53937,05366036
46499,05170012
46562,05170044
47443,05170024
40239,05111000
46244,05512000
46047,05119000
40721,05158016
40721,05158016
40764,05158020
45329,05113000
51067,05315000
45883,05513000
51674,05374048
48477,05566016
42113,05124000
51515,05378012
42275,05124000
44581,05562004
44577,05562004
46446,05154008
41366,05166024
52396,05358012
41063,05116000
41199,05116000
52349,05358008
41061,05116000
41517,05162008
41515,05162008
46414,05554048
47226,05112000
40883,05158028
50939,05315000
48599,05554020
45326,05113000
45257,05113000
48429,05566076
48282,05566008
58093,05914000
44329,05913000
58566,05962028
51467,05378004
42103,05124000
44651,05916000
44793,05911000
44809,05911000
42277,05124000
44801,05911000
51789,05374020
58332,05954024
44149,05913000
59939,05958036
33415,05754044
59929,05958012
33611,05711000
58809,05962048
58710,05962040
59229,05570004
33829,05754004
44143,05913000
58239,05978028
34431,05958024
33100,05774032
32756,05766020
37688,05762008
41812,05370004
41748,05166032
41061,05116000
50171,05362032
46397,05554008
47199,05112000
47198,05112000
41542,05162004
40476,05111000
40878,05158028
40822,05158024
42781,05158008
53117,05314000
42399,05124000
48301,05558032
44577,05562004
51465,05378004
42859,05120000
51491,05378024
44623,05916000
44627,05916000
33335,05754008
33619,05711000
33615,05711000
33102,05774032
32825,05766016
34439,05762040
37671,05762020
58769,05962044
58640,05962024
59423,05978036
59073,05915000
33803,05754040
52134,05334016
41372,05166020
52379,05358032
53949,05366012
41462,05162024
41468,05162024
40489,05111000
46539,05170008
40472,05111000
46342,05554064
50676,05315000
50733,05315000
45127,05113000
53119,05314000
45259,05113000
48565,05566084
44536,05978024
44339,05913000
32549,05770004
32545,05770004
32657,05766044
33034,05762016
44265,05913000
48653,05558012
45772,05562024
45897,05513000
42389,05124000
58456,05954036
44575,05562004
52078,05334002
47638,05154052
52393,05358016
46509,05170052
41066,05116000
47839,05114000
41352,05162020
53947,05366032
46569,05170016
50354,05362028
40211,05111000
40885,05158028
40231,05111000
45470,05117000
45357,05113000
46236,05512000
40723,05158016
45239,05113000
50679,05315000
53859,05382044
51149,05315000
42657,05122000
48155,05515000
59227,05570004
59457,05974052
